|--------|--------------|----------------------------------------------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|----------------|----------|--------|----------------------------|-----------|----------|------|
| op     | ns           | command                                                                                                                                      | ninserted | keysInserted | numYield | locks                                                                                                                                                                                                                                                                                                                                     | flowControl                                   | responseLength | protocol | millis | ts                         | client    | allUsers | user |
|--------|--------------|----------------------------------------------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|----------------|----------|--------|----------------------------|-----------|----------|------|
| insert | test.testing | {'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\x18\xce7&O/L\xdb\x8dy\xee\xdbX\xcd/\x93', 4)}, '$db': 'test'}                |         1 |            1 |        0 | {'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}} | {'acquireCount': 1, 'timeAcquiringMicros': 1} |             45 | op_msg   |      0 | 2022-12-22 08:13:51.507000 | 127.0.0.1 | []       |      |
|--------|--------------|----------------------------------------------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|----------------|----------|--------|----------------------------|-----------|----------|------|
| insert | test.testing | {'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xb2\x87\xd5\xfd\xfa\xfb@U\x9d\x92\x01N\xd3\xd6\x9b\xe5', 4)}, '$db': 'test'} |         1 |            1 |        0 | {'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}} | {'acquireCount': 1}                           |             45 | op_msg   |      0 | 2022-12-22 08:13:51.508000 | 127.0.0.1 | []       |      |
|--------|--------------|----------------------------------------------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|----------------|----------|--------|----------------------------|-----------|----------|------|
| insert | test.testing | {'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'X\xb9!\x89\x06\xb1B)\x95/\xc4\xdf2\x1e`\xfa', 4)}, '$db': 'test'}             |         1 |            1 |        0 | {'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}} | {'acquireCount': 1, 'timeAcquiringMicros': 1} |             45 | op_msg   |      0 | 2022-12-22 08:13:51.511000 | 127.0.0.1 | []       |      |
|--------|--------------|----------------------------------------------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|----------------|----------|--------|----------------------------|-----------|----------|------|
| insert | test.testing | {'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b':\n\x08\xa7f\xf9C\x0b\x89m\xcc$\xb03\xd3\x92', 4)}, '$db': 'test'}            |         1 |            1 |        0 | {'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}} | {'acquireCount': 1}                           |             45 | op_msg   |      0 | 2022-12-22 08:13:51.512000 | 127.0.0.1 | []       |      |
|--------|--------------|----------------------------------------------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|----------------|----------|--------|----------------------------|-----------|----------|------|
| insert | test.testing | {'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xbaq\xeb\x8e\xb82F\xfa\x86?\x9b\xe9\x81\xa348', 4)}, '$db': 'test'}          |         1 |            1 |        0 | {'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}} | {'acquireCount': 1}                           |             45 | op_msg   |      0 | 2022-12-22 08:13:51.515000 | 127.0.0.1 | []       |      |
|--------|--------------|----------------------------------------------------------------------------------------------------------------------------------------------|-----------|--------------|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------|----------------|----------|--------|----------------------------|-----------|----------|------|
