op,ns,command,appName,planCacheKey,keysExamined,docsExamined,cursorExhausted,numYield,nreturned,queryHash,queryExecutionEngine,locks,flowControl,responseLength,protocol,millis,planSummary,execStats,ts,client,allUsers,user
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\x97_\xf1\x12\xde\x94G\xb7\x8a+\xb14\x08\xf7\xcf|', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.058000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\x8a\x8e\xfcfh\xdcJj\x94\xf3\xfd\xe2\x1aWP6', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.060000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\xfa\x83X\x1a8\x15E\x08\x9db\xc9\x8fZCN\x1c', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.060000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\x7f\\i\xdd\xbd~@\xe5\x93R\xe9t\xb8\xff\xf1^', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.142000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\xd5\xe2\x8d\xfb\xcerF\xf2\x89va\xa23\x8f\xd6-', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.147000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\x02\xc5\x93O\x7f\x80K\x98\xab\n9\xbd\xed\xed\xf5\xae', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.148000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\xa7\xfdPQ\xd8\x83H\t\xab\x02$:\x15\xb9f\xa4', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.152000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'X\xd0\xb1\xber)K\xfc\xbc\xab\xae\xc1U\x9c\xce\xf7', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.157000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\xe0\xd8u\x98V\xa9K\xf8\xa5\xee\x80(E\x1b\xc9=', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.161000,127.0.0.1,[],
query,test.testing,"{'find': 'testing', 'filter': {}, 'limit': 1, 'singleBatch': True, 'lsid': {'id': Binary(b'\x80\xfe\x85\x91\xec\xdeCA\x89\xce\xc5\x1f8A\xde\xfc', 4)}, '$db': 'test'}",,,0,1,True,0,1,,,"{'FeatureCompatibilityVersion': {'acquireCount': {'r': 1}}, 'Global': {'acquireCount': {'r': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{},142,op_msg,0,COLLSCAN,"{'stage': 'LIMIT', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 3, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 1, 'limitAmount': 1, 'inputStage': {'stage': 'COLLSCAN', 'nReturned': 1, 'executionTimeMillisEstimate': 0, 'works': 2, 'advanced': 1, 'needTime': 1, 'needYield': 0, 'saveState': 0, 'restoreState': 0, 'isEOF': 0, 'direction': 'forward', 'docsExamined': 1}}",2022-12-22 19:00:39.242000,127.0.0.1,[],
