op,ns,command,ninserted,keysInserted,numYield,locks,flowControl,responseLength,protocol,millis,ts,client,allUsers,user
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'J\x15\xb8w\xf0\xe2A[\x80\x8ex\x8c\xae\xddOA', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}","{'acquireCount': 1, 'timeAcquiringMicros': 1}",45,op_msg,0,2022-12-22 16:51:58.278000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'WL\xd2>}\xecC\x1d\x90\n\xba\x1a\x18\xea\xb0\x0c', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{'acquireCount': 1},45,op_msg,0,2022-12-22 16:51:58.281000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'<)^.\x1a\xb0H\xd0\xa4\xfe\xa0\xbc\xc9\xab\xcfb', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{'acquireCount': 1},45,op_msg,0,2022-12-22 16:51:58.286000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xdbC\xd4:\xf1\xecI\xf7\xa3\xc3\xfbm\xe9\xc2\x03\x98', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}","{'acquireCount': 1, 'timeAcquiringMicros': 1}",45,op_msg,0,2022-12-22 16:51:58.286000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b""\xc3\x8b\xbb\x9b\x98S@?\xb8p\x0f\xc1\xb6\xe1'\xbf"", 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{'acquireCount': 1},45,op_msg,0,2022-12-22 16:51:58.287000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xa6`\x89{\x81\x96A\x13\x8c#[\xe1z\x19\\y', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{'acquireCount': 1},45,op_msg,0,2022-12-22 16:51:58.287000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'G\xfb\x89[s\x8bJ\x08\xa5\x9f\xcb\x17\xe4\x8bEd', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{'acquireCount': 1},45,op_msg,0,2022-12-22 16:51:58.288000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'69v\xde/\xaeIo\xbb\x18\xa0\x10V\xb0\x10\xfd', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}","{'acquireCount': 1, 'timeAcquiringMicros': 1}",45,op_msg,0,2022-12-22 16:51:58.288000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'<\x1d\x9b\xf9`\xf7H\x99\xb8\x9b\xec\xb9\xfdU\xcbH', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}",{'acquireCount': 1},45,op_msg,0,2022-12-22 16:51:58.288000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xe3\xc0\x80Nh\xfeMQ\xb5\xfb\t\x988\xb0\x1e\xed', 4)}, '$db': 'test'}",1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 1}}, 'FeatureCompatibilityVersion': {'acquireCount': {'w': 1}}, 'ReplicationStateTransition': {'acquireCount': {'w': 1}}, 'Global': {'acquireCount': {'w': 1}}, 'Database': {'acquireCount': {'w': 1}}, 'Collection': {'acquireCount': {'w': 1}}, 'Mutex': {'acquireCount': {'r': 1}}}","{'acquireCount': 1, 'timeAcquiringMicros': 1}",45,op_msg,0,2022-12-22 16:51:58.288000,127.0.0.1,[],
