op,ns,command,storage,writeConflicts,ninserted,keysInserted,numYield,locks,flowControl,responseLength,protocol,millis,ts,client,allUsers,user
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'n/\x9b\xcfnIN\xf6\xb1\x8b\xd9\xd9\xf2\xaa;\xe0', 4)}, '$db': 'test'}",{},,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 4}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 3}}, 'ReplicationStateTransition': {'acquireCount': {'w': 5}}, 'Global': {'acquireCount': {'r': 2, 'w': 3}}, 'Database': {'acquireCount': {'r': 1, 'w': 3}}, 'Collection': {'acquireCount': {'w': 3}}, 'Mutex': {'acquireCount': {'r': 4}}}","{'acquireCount': 3, 'timeAcquiringMicros': 5}",45,op_msg,109,2022-12-22 19:00:19.854000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xfc\x8f\xa4\xb3\xda\xc8CL\x95\xb8\xd4\x82\xef\xdaf\x16', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 4}",45,op_msg,411,2022-12-22 19:00:20.067000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xff\xad\x89J=\x14C^\xba\xe6\x8b\xe7\r\x80\xc2\xa8', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 4}",45,op_msg,317,2022-12-22 19:00:20.075000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'][\xd9\xfb\x1c\xc5G~\xb3\xe7\x0f\xe2%\x11Yc', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 7}",45,op_msg,335,2022-12-22 19:00:20.077000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'<\xad\x93\xef\xb4@M\x89\x8d.x}\xc0\x81\x82\xb8', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 6}",45,op_msg,236,2022-12-22 19:00:20.081000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\xec\x8c\xb5\x97T\x10B\xd7\xa7\xa3\x84\x97\xc8\x8f\xd5\x7f', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 4}",45,op_msg,237,2022-12-22 19:00:20.084000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'\x1c7\xd7\xa1Y\x1eC\xd0\xbd\xe9\x96\x04\xef1\x90\xd5', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 5}",45,op_msg,292,2022-12-22 19:00:20.142000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'/\x1b}2\xbexI\x07\x92\x1cRK\x87h\x98l', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 3}",45,op_msg,301,2022-12-22 19:00:20.143000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'FQ\xf5\xd9Q\x18LH\xa5,\xc6\x91\xe0A\x9fe', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 5}",45,op_msg,298,2022-12-22 19:00:20.145000,127.0.0.1,[],
insert,test.testing,"{'insert': 'testing', 'ordered': True, 'lsid': {'id': Binary(b'}IAk\xb7\x93GF\x9f\x063\x02\xa4C\xd28', 4)}, '$db': 'test'}",{},1,1,1,0,"{'ParallelBatchWriterMode': {'acquireCount': {'r': 5}}, 'FeatureCompatibilityVersion': {'acquireCount': {'r': 2, 'w': 4}}, 'ReplicationStateTransition': {'acquireCount': {'w': 6}}, 'Global': {'acquireCount': {'r': 2, 'w': 4}}, 'Database': {'acquireCount': {'r': 1, 'w': 4}}, 'Collection': {'acquireCount': {'w': 4}}, 'Mutex': {'acquireCount': {'r': 5}}}","{'acquireCount': 4, 'timeAcquiringMicros': 2}",45,op_msg,301,2022-12-22 19:00:20.149000,127.0.0.1,[],
