op,ns,ts,ParallelBatchWriterMode,FeatureCompatibilityVersion,ReplicationStateTransition,Global,Database,Collection,Mutex,ts
insert,test.testing,2022-12-22 19:00:19.854000,{'acquireCount': {'r': 4}},"{'acquireCount': {'r': 2, 'w': 3}}",{'acquireCount': {'w': 5}},"{'acquireCount': {'r': 2, 'w': 3}}","{'acquireCount': {'r': 1, 'w': 3}}",{'acquireCount': {'w': 3}},{'acquireCount': {'r': 4}},2022-12-22 19:00:19.854000
insert,test.testing,2022-12-22 19:00:20.067000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.067000
insert,test.testing,2022-12-22 19:00:20.075000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.075000
insert,test.testing,2022-12-22 19:00:20.077000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.077000
insert,test.testing,2022-12-22 19:00:20.081000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.081000
insert,test.testing,2022-12-22 19:00:20.084000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.084000
insert,test.testing,2022-12-22 19:00:20.142000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.142000
insert,test.testing,2022-12-22 19:00:20.143000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.143000
insert,test.testing,2022-12-22 19:00:20.145000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.145000
insert,test.testing,2022-12-22 19:00:20.149000,{'acquireCount': {'r': 5}},"{'acquireCount': {'r': 2, 'w': 4}}",{'acquireCount': {'w': 6}},"{'acquireCount': {'r': 2, 'w': 4}}","{'acquireCount': {'r': 1, 'w': 4}}",{'acquireCount': {'w': 4}},{'acquireCount': {'r': 5}},2022-12-22 19:00:20.149000
