op,ns,ts,ParallelBatchWriterMode,FeatureCompatibilityVersion,ReplicationStateTransition,Global,Database,Collection,Mutex,ts
insert,test.testing,2022-12-22 08:13:51.507000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.507000
insert,test.testing,2022-12-22 08:13:51.508000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.508000
insert,test.testing,2022-12-22 08:13:51.511000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.511000
insert,test.testing,2022-12-22 08:13:51.512000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.512000
insert,test.testing,2022-12-22 08:13:51.515000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.515000
insert,test.testing,2022-12-22 08:13:51.515000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.515000
insert,test.testing,2022-12-22 08:13:51.517000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.517000
insert,test.testing,2022-12-22 08:13:51.518000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.518000
insert,test.testing,2022-12-22 08:13:51.519000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.519000
insert,test.testing,2022-12-22 08:13:51.519000,{'acquireCount': {'r': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'w': 1}},{'acquireCount': {'r': 1}},2022-12-22 08:13:51.519000
